,id,brand,model,variant,price,address,description,Modelår,1. registrering,Kilometertal,Drivmiddel,Brændstofforbrug,CO2 udledning,Euronorm,Periodisk afgift,Ydelse,Acceleration,Tophastighed,Geartype,Antal gear,Trækvægt,Farve,Nypris,Kategori,Type,Vægt,Bredde,Længde,Højde,Lasteevne,Max. trækvægt m/bremse,Trækhjul,Cylindre,ABS-bremser,ESP,Airbags,Tankkapacitet,Døre,Fartpilot,Aircondition,Højdejust. førersæde,Alufælge,Læderrat,Antispin,Navigation,AUX tilslutning,Parkeringssensor (bag),Bluetooth,Service ok,Isofix,Musikstreaming via bluetooth,Armlæn,Sædevarme,Servo,Rækkevidde,Batterikapacitet,Energiforbrug,"Elruder, 4x",Elsidespejle,Android auto,Elsidespejle m. varme,Infocenter,Apple carplay,Automatgear,Kørecomputer,"Sædebetræk, stof",Produceret,Centrallås fjernb.,Splitbagsæde,Elruder,Startspærre,LED Kørelys,Automatisk lys,Anhængertræk,Bakkamera,Auto. start/stop,Alarm,Tågelygter,Elsæder,Tagræling,USB tilslutning,Klimaanlæg,Auto. nødbremse,Kunstlæder,Kurvelys,Brugtbilsattest,Centrallås,Parkeringssensor (for),Nøglefri betjening,DAB radio,Regnsensor,Parkeringssensor,Højdejust. forsæde,"Anhængertræk, aftagl.",DAB+ Radio,"Sædebetræk, dellæder",Fuld LED forlygter,Dæktryksmåler,3 individuelle sæder i bag,LED forlygter,Tonede ruder,Digitalt cockpit,"Sædebetræk, læder",CD afspiller,Lygtevasker
0,https://www.bilbasen.dk/brugt/bil/dacia/logan/15-dci-90-laureate-mcv-5d/5627341,Dacia,Logan,"1,5 dCi 90 Laureate MCV 5d",69.900 kr.,"Vestre Landevej 95, 4951 Nørreballe","Bilen har et stort og rummeligt bagagerum med fin læssehøjde, bilen har ligeledes en god indstigningshøjde. Bilen er veludstyret med bl.a. navigation, fartpilot og aircondition. Bilen er opgivet til at køre hele 26,3 km/l.Highligt af udstyr: -	A/C-	Håndfri til tlf.-	Fartpilot-	Navigation-	Service OK-	VinterhjulVi tilbyder attraktiv finansiering via vores to samarbejdspartnere, både med og uden udbetaling. Vi har eget værksted, er medlem af Hella Service Partner og medlem af DBFU, som sikre dig en tryg bilhandel. Vi tager desuden alle brugte biler i bytte. Vi glæder os til at byde dig velkommen hos TS Biler. , 15"" alufælge, vinterhjul, airc., fartpilot, navigation, håndfrit til mobil, bluetooth, fjernb. c.lås, højdejust. førersæde, el-ruder, el-spejle, parkeringssensor (bag), usb tilslutning, aux tilslutning, bagagerumsdækken, kopholder, læderrat, diesel partikel filter, service ok, esp, tågelygter, tagræling",2014,9/2014,140.000 km,Diesel,"(NEDC) 26,3 km/l",99 g/km,5,2.640 kr. / år,90 hk/220 nm,"12,1 sek.",173 km/t,Manuel,5,1.150 kg,Sort,141.990 kr.,Personbil,St.car,1.090 kg,172 cm,449 cm,155 cm,580 kg,1.150 kg,Forhjulstræk,4,ABS-bremser,Ja,4,50 l,5,Fartpilot,Aircondition,Højdejust. førersæde,Alufælge,Læderrat,Antispin,Navigation,AUX tilslutning,Parkeringssensor (bag),Bluetooth,Service ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,https://www.bilbasen.dk/brugt/bil/dacia/logan/09-tce-90-family-mcv-5d/5641247,Dacia,Logan,"0,9 TCe 90 Family MCV 5d",84.900 kr.,"Tåstruphøj 8, 4300 Holbæk","aut., alu., airc., fjernb. c.lås, fartpilot, udv. temp. måler, sædevarme, el-ruder, el-spejle, cd/radio, navigation, multifunktionsrat, håndfrit til mobil, bluetooth, musikstreaming via bluetooth, usb tilslutning, armlæn, aux tilslutning, isofix, bagagerumsdækken, kopholder, tågelygter, airbag, abs, esp, servo, mørktonede ruder i bag, nysynet 18-11-2022, tidligere undervognsbehandletAlle Bytte biler er velkommen.Finansering tilbydes med 0 kr i udbetaling.Altid gode tilbud på forsikring både som ny eller erfaren bilist.Vi står klar med hjælp til din næste bil.Åbningstider MAN-FRE 10-17, LØR 11-16 , SØN 12-16.Få bilen hjem samme dag 😊Ring & hør nærmere på 42 75 95 85.Forbehold for tastefejl & ModelfejlVh MDK BILER",2016,10/2016,90.000 km,Benzin,"(NEDC) 20,4 km/l",110 g/km,6,740 kr. / år,90 hk/135 nm,"11,1 sek.",175 km/t,Manuel,5,1.110 kg,-,131.200 kr.,Personbil,St.car,1.038 kg,172 cm,450 cm,155 cm,582 kg,1.110 kg,Forhjulstræk,3,ABS-bremser,Ja,4,50 l,5,Fartpilot,Aircondition,,Alufælge,,Antispin,Navigation,AUX tilslutning,,,,Isofix,Musikstreaming via bluetooth,Armlæn,Sædevarme,Servo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,https://www.bilbasen.dk/brugt/bil/dacia/spring/comfort-5d/5526481,Dacia,Spring,Comfort+ 5d,139.900 kr.,"Århusvej 115, 8960 Randers SØ","C.lås, Fjernb. c.lås, Parkeringssensor, Parkeringssensor (bag), Kørecomputer, Infocenter, Startspærre, Udv. temp. måler, 4x el-ruder, El-spejle, El-spejle m/varme, Bakkamera, DAB+ radio, Navigation, Multifunktionsrat, Håndfrit til mobil, Bluetooth, Musikstreaming via bluetooth, Android Auto, Apple CarPlay, Isofix, Bagagerumsdækken, Kopholder, Læderindtræk, Automatisk lys, Airbag, ABS, ESP, Airc.. DEMO model. Nypris idag 169.900 Kr.  - Så spar 21.000 kr. samt ventetiden FINANSIERING:Denne bil kan finansieres til en attraktiv renteVi hos Pedersen & Nielsen  har mange års erfaring på dette område, hvilket sikker dig en god og seriøs rådgivning omkring de mange forskellige finansieringsmuligheder der findes, både med og uden udbetaling – Øvrigt:Har denne bil skabt din interesse, så lad os lave en aftale om et møde - Kontakt: Lasse 88883599 eller Thomas 88883595   Husk vi tager selvfølgelig din nuværende bil i bytte. Vi sælger og levere biler over hele landet.Der tages forbehold for evt. tastefejl",2021,12/2021,2.500 km,El,,,,740 kr. / år,44 hk/125 nm,"19,1 sek.",125 km/t,,,-,Sølvmetal,138.310 kr.,Personbil,SUV,912 kg,162 cm,373 cm,148 cm,388 kg,-,-,,ABS-bremser,Ja,6,,5,,Aircondition,,,,Antispin,,,,,,Isofix,,,,,(WLTP) 230 km,"27,6 kWh",139 Wh/km,"Elruder, 4x",Elsidespejle,Android auto,Elsidespejle m. varme,Infocenter,Apple carplay,Automatgear,Kørecomputer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,https://www.bilbasen.dk/brugt/bil/dacia/jogger/10-tce-110-essential-7prs-5d/5713947,Dacia,Jogger,"1,0 TCe 110 Essential 7prs 5d",203.400 kr.,"Kirstinehøj 62, 2770 Kastrup","💰Danmarks billigste faste rente på KUN 2,99%. Gælder alle biler op til 3 år, og indtil 31/3-2023💰📞Kontakt os for at udregne finansieringen på netop din drømmebil📞Dacia Jogger MED 7 SÆDER skiller sig ud med sin alsidighed, som kombinerer en stationcars dimensioner, en fritidsbils kabineplads og fordelene ved en familie-SUV. Den helt ny Dacia Jogger kombinerer komfort og indvendig plads! Dens mange forskellige kombinationer gør det muligt at designe den, så den afspejler din personlighed.EKSTRAUDSTYR: * Komplet sæt vinterhjul på stålfælge* Komfortpakke m. fartpilot, højde og dybde justerbar rat og parkeringssensor.SIKKERHED:* Automatisk Intercity-nødopbremsning (AEBS)* Isofix-børnesædemonteringssystem på de yderste bagsædepladser på 2. sæderække* Nødopkald (E-call)* ABS (antiblokeringssystem) og EBA (nødbremseassistent)* ESP (elektronisk stabilitetsprogram) + HSA (Hill Start Assist)KOMFORT:* Manuel klimaanlæg* Elruder foran* Sædevarme i forsæderKØRSEL:* Tågeforlygter.* Hastighedsbegrænser med advarselslyd/fartpilotLYD, MULTIMEDIA:* MEdia Control: DAB-radio, to højtalere, bluetoothVi tilbyder videopræsentationer eller prøvekørsler på hjemmeadressen. Book nu på Hessel.dk.",2022,10/2022,3.000 km,Benzin,"(NEDC) 21,2 km/l",129 g/km,-,1.200 kr. / år,110 hk/200 nm,"11,2 sek.",180 km/t,Manuel,6,1.200 kg,Hvid,195.810 kr.,Personbil,MPV,1.158 kg,178 cm,455 cm,163 cm,537 kg,1.200 kg,Forhjulstræk,3,Ja,Ja,6,50 l,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,https://www.bilbasen.dk/brugt/bil/dacia/sandero/12-16v-ambiance-5d/5647106,Dacia,Sandero,"1,2 16V Ambiance 5d",52.990 kr.,"Lerhøj 18B, 2880 Bagsværd","Sælges med 12 måneder garanti og fejlfri brugtbilsattest!! Kan finansieres med 0 kr i udbetaling! Forsikring tilbydes fra 2985 kr inkl kasko/årligt!! Vi tager gerne din bil i bytte!! 16"" alufælge, airc., c.lås, fjernb. c.lås, infocenter, udv. temp. måler, el-ruder, el-spejle, cd/radio, multifunktionsrat, håndfrit til mobil, bluetooth, usb tilslutning, aux tilslutning, isofix, bagagerumsdækken, kopholder, stofindtræk, splitbagsæde, tågelygter, 6 airbags, abs, esp, servo, 1 ejer, nysynet, lev. nysynet, service ok, brugtbilsattest",2015,11/2015,70.000 km,Benzin,"(NEDC) 17,2 km/l",-,-,2.080 kr. / år,75 hk/107 nm,"14,5 sek.",162 km/t,Manuel,5,1.100 kg,Hvid,104.990 kr.,Personbil,Halvkombi,1.016 kg,156 cm,406 cm,162 cm,484 kg,1.100 kg,Forhjulstræk,4,ABS-bremser,Ja,4,50 l,5,,Aircondition,,Alufælge,,Antispin,,AUX tilslutning,,Bluetooth,Service ok,Isofix,,,,Servo,,,,,Elsidespejle,,,Infocenter,,,,"Sædebetræk, stof",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,https://www.bilbasen.dk/brugt/bil/dacia/logan/09-tce-90-ambiance-mcv-5d/5720769,Dacia,Logan,"0,9 TCe 90 Ambiance MCV 5d",104.500 kr.,"Trafikcenter Alle 3, 4200 Slagelse","⭐⭐Highlights⭐⭐NYSYNET D 5-7-2022, airc., fjernb. c.lås, fartpilot, startspærre, servo, abs, esp, bluetooth, el-ruder, el-spejle, splitbagsæde, stofindtræk, kopholder, bagagerumsdækken, isofix, service ok, tagræling, tonede ruder, parkeringssensor (bag), 6 airbags, tågelygter, tidligere undervognsbehandlet, sidste service ved 53.000km, nysynet_____Strandvejens Auto_____✔️Attraktiv Finansiering Med- & Uden Udbetaling!!✔️ 5 Stjerner På Trustpilot✔️Mulighed For Tilkøb af CarGarantie Op Til 24 Måneder✔️Codan Forsikring Tilbydes",2019,3/2019,53.000 km,Benzin,"(NEDC) 14,1 km/l",-,-,4.660 kr. / år,90 hk/140 nm,"12,4 sek.",168 km/t,Manuel,5,810 kg,Mørkblå,-,Personbil,St.car,1.116 kg,173 cm,450 cm,154 cm,504 kg,810 kg,Forhjulstræk,3,ABS-bremser,Ja,4,50 l,5,,Aircondition,,,,Antispin,,,Parkeringssensor (bag),Bluetooth,Service ok,,,,,Servo,,,,,,,,,,,,"Sædebetræk, stof",2/2019,Centrallås fjernb.,Splitbagsæde,Elruder,Startspærre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,https://www.bilbasen.dk/brugt/bil/dacia/spring/comfort-5d/5585462,Dacia,Spring,Comfort+ 5d,139.700 kr.,"Øsselbjergvej  25, 8250 Egå","MINIBIL MED SUV LOOK! Muligvis markedets billigste el-bil! 27,4 KWH batteri - Rækkevidde jf. WLTP 230 km, Kan med DC hurtiglader (max 30 KW) lade fra 0-80% på under en time! ⭐️⭐️⭐️⭐️⭐️ Vores kunder har talt - vi gør det Fremragende på Trustpilot ⭐️⭐️⭐️⭐️⭐️Rækkevidde på batteri ved WLTP: 230 kmAC ladning: 1 fase op til 3,7 kw (med fasefordeler op til 7,4 kw)DC ladning: 30 kw Batteristørrelse: 26,8 kWFortsat kapacitetsgaranti på batteriet til: 01-01-2030 eller 120.000 km* minimum garanteret kapacitet på 75% alt efter hvad der kommer førstSærligt nævneværdigt udstyr:- Navigation- Bakkamera- Parkeringssensor bag- Kunstlæder kabine- LED kørelys- Automatgear- AUX & USB stik- Bluetooth- DAB & FM Radio - Multifunktionsrat- Musikstreaming via bluetooth- MetallakYderligere udstyr:- Hvide blinklys- Tagræling- Bagagerumsdækken- Lyssensor- Selealarm- Justerbart rat- 12V udtag- Aircondition- Elruder for- El-spejle- Fjernbetjent centrallås- Infocenter- Kørecomputer- Udvendig temperaturmåler- IsofixBilen er importeret og kan derfor variere i udstyr i forhold til den danske udstyrsliste.Velkommen hos Aunsbjerg🗓 Vi holder åbent alle ugens 7 dage🔌 Du kan trygt handle elbil/plugin hybridbil hos Aunsbjerg – vi har allerede solgt mere end 500 biler med ledning og har altid mere end 200 forskellige el- og plugin hybridbiler på lager✔️ Alle vores biler kan online reserveres i 48 timer, og finansieres til fordelagtige rentesatser og både med 0 kr. i udbetaling eller Fast rente. Tilmed kan rigtig mange af vores biler tilbydes på både privat- og erhvervsleasing, samt som varebiler. Kontakt os for beregninger.🔧 Gør som over 5.000 andre, og få en attraktiv servicepakke til bilen, der matcher dine ønsker og behov.🚘 Vi tager naturligvis din nuværende bil i bytte.📞 Ring - send en mail eller chat med os på www.aunsbjerg.com 💬",2022,12/2021,60 km,El,,,,740 kr. / år,44 hk/125 nm,"19,1 sek.",125 km/t,,,-,Sølvmetal,160.810 kr.,Personbil,SUV,912 kg,162 cm,373 cm,148 cm,388 kg,-,-,,ABS-bremser,Ja,6,,5,,Aircondition,,,,Antispin,Navigation,AUX tilslutning,,,,Isofix,Musikstreaming via bluetooth,,,,(WLTP) 230 km,"28,0 kWh",139 Wh/km,,,,,Infocenter,,Automatgear,Kørecomputer,,,,,,,LED Kørelys,Automatisk lys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,https://www.bilbasen.dk/brugt/bil/dacia/logan/09-tce-90-laureate-mcv-5d/5585420,Dacia,Logan,"0,9 TCe 90 Laureate MCV 5d",89.900 kr.,"Industrivej 14, 7120 Vejle Øst","Aircondition, Højdejusterbart førersæde, Kørecomputer, airc., fjernb. c.lås, fartpilot, kørecomputer, infocenter, startspærre, udv. temp. måler, sædevarme, højdejust. førersæde, el-ruder, el-spejle, dæktryksmåler, cd/radio, dab radio, navigation, multifunktionsrat, håndfrit til mobil, bluetooth, musikstreaming via bluetooth, usb tilslutning, aux tilslutning, isofix, bagagerumsdækken, kopholder, stofindtræk, splitbagsæde, læderrat, tågelygter, 4 airbags, abs, esp, servo, service ok, træk, Bilen kan tilkøbes med en 12-24 mdr. 100 % Autotjek forsikring- motor-gearkasse-turbo! Din sikkerhed for et trygt bilkøb,attraktiv finansiering tilbydes, ANSØG DIREKTE HER PÅ SIDEN, vi tager gerne i din brugte bil i bytte, er du fyldt 25 år forsikrer vi denne til kr. 343  pr mdr.  incl. kasko og ansvar, finansieringsforslag, 3.99% i rente, udbetaling : 20.000 kr., 1.569 kr. pr. mdr., 72 mdr., evt. uden udbetaling, for fremvisning ring venligst 4085 3606 eller 2149 3601, åbent mandag - fredag 09:00-16:30 samt søndag 10.00-13.00, www.comfortbilsalg.dk ,Tågeforlygter, 3 justerbare nakkestøtter, Passagerairbag, ABS-bremser, ESP med ASR, Nødbremseassistance, Selealarmer (2), Trepunktsseler bag, 3. bremselys, Isofixbeslag, Førerairbag, Sideairbags (til beskyttelse af både hoved og brystkasse), El-ruder for, Fjernbetjent centrallås, Nakkestøtter ved alle sæder, Dækreparationssæt, 15"" stålfælge, Adaptiv førerairbag, Radio/CD/MP3/Bluetooth (4x15W), Cruise control, Indfarvede fenderlister, Tag-rails,",2016,4/2016,99.000 km,Benzin,"(NEDC) 20,4 km/l",109 g/km,6,740 kr. / år,90 hk/135 nm,"11,1 sek.",175 km/t,Manuel,5,1.150 kg,Sortmetal,138.197 kr.,Personbil,St.car,1.038 kg,172 cm,450 cm,155 cm,582 kg,1.150 kg,Forhjulstræk,3,ABS-bremser,Ja,4,50 l,5,,Aircondition,,,Læderrat,Antispin,Navigation,AUX tilslutning,,Bluetooth,,Isofix,Musikstreaming via bluetooth,,,,,,,,,,,,,,Kørecomputer,"Sædebetræk, stof",,,,,,,,Anhængertræk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,https://www.bilbasen.dk/brugt/bil/dacia/duster/15-dci-109-laureate-5d/5727725,Dacia,Duster,"1,5 dCi 109 Laureate 5d",99.900 kr.,"Salløvvej 2, 4621 Gadstrup","En rigtig flot og meget velpasset ÉN EJERS Dacia Duster 1, 5 dCi 109HK. Kører rigtig godt i motor, gearkasse og kobling. Meget flot og velpasset inde såvel som ude - med to gange rustbeskyttelse. Den bliver leveret helt nysynet og nyserviceret.  Reg. 1. gang 6/2016. Alle service er overholdt, pånær det fra 2022 grundet dødsfald - tilhørt ægtepar fra ny. En dejlig rummelig og meget økonomisk bil - kører hele 22, 7 km pr. liter diesel - skønt! Dejlig høj bil med nem ind og udstigning. Bør ses og prøves - et rigtig godt køb - her er meget bil for pengene. OBS PRISEN ER INKL LEVERINGSOMKOSTNINGER!Gerne finansiering med eller uden udbetaling - spørg herom?www.tumlinghoejauto.dkTlf. 2011 2376 ell. 2028 5121Følg os gerne på Facebook!UDSTYR;, alu., airc., c.lås, fjernb. c.lås, fartpilot, kørecomputer, infocenter, startspærre, sædevarme, udv. temp. måler, højdejust. førersæde, el-ruder, 4x el-ruder, el-spejle, bakkamera, parkeringssensor (bag), automatisk start/stop, navigation, multifunktionsrat, håndfrit til mobil, bluetooth, musikstreaming via bluetooth, usb tilslutning, armlæn, isofix, bagagerumsdækken, kopholder, stofindtræk, splitbagsæde, læderrat, tågelygter, abs, antispin, esp, servo, tagræling, tonede ruder, mørktonede ruder i bag, 1 ejer, ikke ryger, nysynet, lev. nysynet, diesel partikel filter, træk, tidligere undervognsbehandletTågeforlygter, Passagerairbag, ABS-bremser, ESP med ASR, Selealarmer (2), 3. bremselys, Isofixbeslag, Førerairbag, Sideairbags (til beskyttelse af både hoved og brystkasse), Fjernbetjent centrallås, Nakkestøtter ved alle sæder, Dækreparationssæt, 15"" stålfælge, Adaptiv førerairbag, Radio/CD/MP3/Bluetooth (4x15W), Tag-rails, Aircondition, Højdejusterbart førersæde, Kørecomputer, Indfarvede dørhåndtag, Udendørstemperaturmåler, Højdejusterbare sikkerhedsseler for, Højdejusterbart rat, El-ruder bag,",2016,6/2016,119.000 km,Diesel,"(NEDC) 22,7 km/l",-,-,3.580 kr. / år,109 hk/240 nm,"12,2 sek.",169 km/t,Manuel,6,1.500 kg,Blåmetal,190.290 kr.,Personbil,CUV,1.280 kg,182 cm,432 cm,163 cm,515 kg,1.500 kg,Forhjulstræk,4,ABS-bremser,Ja,4,50 l,5,,Aircondition,,Alufælge,Læderrat,Antispin,Navigation,,,,,Isofix,Musikstreaming via bluetooth,Armlæn,,,,,,,,,,Infocenter,,,Kørecomputer,,,,,,,,,Anhængertræk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,https://www.bilbasen.dk/brugt/bil/dacia/lodgy/13-tce-100-streetway-7prs-5d/5722269,Dacia,Lodgy,"1,3 TCe 100 Streetway 7prs 5d",167.000 kr.,"Tonne Kjærsvej 64, 7000 Fredericia","15"" fælge, Aircondition, Bluetooth, Fartbegrænser, Fartpilot, Fjernbetjent centrallås, Højdejust. førersæde, Isofix, Multifunktionsrat, Seks gear, Splitbagsæde, Syv sæder, Sædevarme, To el-ruder, Udvendig temperaturmåler",2021,3/2021,17.000 km,Benzin,"(NEDC) 19,8 km/l",139 g/km,6,1.960 kr. / år,100 hk/200 nm,"11,0 sek.",177 km/t,Manuel,6,1.400 kg,Hvid,166.811 kr.,Personbil,MPV,1.211 kg,175 cm,450 cm,168 cm,646 kg,1.400 kg,Forhjulstræk,4,ABS-bremser,Ja,4,50 l,5,Fartpilot,Aircondition,Højdejust. førersæde,Alufælge,,,,,,,,Isofix,Musikstreaming via bluetooth,,Sædevarme,,,,,,,,,,,,,,,Centrallås fjernb.,Splitbagsæde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
